method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
second,KITTIDataset,"48,29,17,2,37,49,5,20,60,41,47,1,0,31,11,59,39,24,10,54,56,23,21,46,12,44,16,57",True,False,80,61.81359015402027,29.179956013683334,30.904832368268465
second,KITTIDataset,"38,55,47,20,16,7,15,6,57,9,18,39,46,3,11,41,61,34,48,44,23,8,26,2,36,29,33,58",True,False,80,68.51204390202048,30.939308827755074,37.501093330499636
second,KITTIDataset,"27,37,7,43,47,60,34,44,2,13,40,51,24,17,18,48,56,39,8,15,41,4,55,12,62,28,25,45",True,False,80,59.68447963513886,16.5219397814612,25.140966661160537
second,KITTIDataset,"43,39,47,35,44,58,24,60,55,23,54,13,48,51,19,20,21,62,52,38,22,15,14,28,26,42,16,9",True,False,80,58.38894027978072,20.73178886777379,27.04147248790435
second,KITTIDataset,"54,16,28,50,53,59,15,33,51,0,37,13,20,23,44,17,45,62,31,35,3,46,39,24,22,41,63,1",True,False,80,63.77468540604194,24.413170851706454,33.22742575988894
second,KITTIDataset,"26,9,59,7,12,17,51,43,28,54,61,25,21,35,5,16,20,52,45,29,14,4,57,32,36,34,48,44",True,False,80,68.82840444653174,24.166480516480714,27.547933483992143
second,KITTIDataset,"1,6,53,35,23,57,40,25,28,44,13,62,56,42,33,41,58,21,46,29,49,43,52,26,12,63,27,17",True,False,80,57.141026569120044,15.159128530454685,21.838794945089592
second,KITTIDataset,"56,15,20,13,63,52,40,59,50,8,49,46,19,39,25,26,36,27,2,7,4,62,44,37,45,18,21,60",True,False,80,66.60621185694178,20.708214327032966,36.601707361073125
second,KITTIDataset,"56,20,23,32,40,17,14,3,34,48,35,9,58,25,24,11,0,36,46,18,31,37,16,38,27,62,60,59",True,False,80,71.28362439957802,28.540522446488204,39.814003092663484
second,KITTIDataset,"11,43,59,7,41,51,12,5,53,3,2,30,23,22,50,38,57,54,16,36,10,40,17,19,14,26,62,18,42,24",True,False,80,63.07505666844323,18.24932913774643,26.749909178424065
second,KITTIDataset,"32,23,15,43,42,18,62,55,48,7,49,11,34,9,31,20,3,51,46,39,53,0,24,45,54,27,44,35,36,37",True,False,80,42.813359352288096,13.532487197033824,8.971769192793303
second,KITTIDataset,"5,24,4,25,7,50,43,40,31,37,52,32,46,36,47,16,56,8,1,29,14,55,20,48,28,60,17,57,0,59",True,False,80,60.3210236821916,25.625281712652935,29.944192990725227
second,KITTIDataset,"61,13,8,6,55,38,32,31,0,48,40,9,1,42,29,43,50,10,62,56,7,47,20,41,21,35,36,23,49,52",True,False,80,51.719648415575904,14.593936740923905,16.67005269258295
second,KITTIDataset,"49,30,62,60,61,32,54,56,47,8,21,53,63,44,26,15,10,31,18,20,34,19,0,43,51,2,25,27,5,11",True,False,80,66.81187349531935,31.672708413449406,36.95549471848283
second,KITTIDataset,"52,6,48,50,10,45,46,40,49,58,56,1,14,8,7,39,30,11,35,5,31,25,47,20,43,54,9,53,55,15",True,False,80,36.04819742417191,20.057053838918442,21.520368557960147
second,KITTIDataset,"11,17,23,35,41,50,43,39,57,6,46,26,16,19,15,27,44,1,32,30,14,42,59,24,29,56,10,37,55,18",True,False,80,58.38270561346863,21.995958406932115,26.435661769332615
second,KITTIDataset,"37,60,20,47,38,14,59,49,5,33,61,46,43,4,51,52,63,6,41,19,28,55,18,1,42,44,29,39,21,15",True,False,80,58.74644821923576,11.1119682627072,25.525844569483812
second,KITTIDataset,"40,41,20,31,18,60,12,28,34,24,11,50,26,55,33,5,38,8,21,6,54,4,23,32,42,2,36,37,62,48",True,False,80,62.371904548700364,19.3997616416767,26.835813780941244
second,KITTIDataset,"63,28,55,59,31,39,14,43,25,40,18,42,48,6,56,7,3,24,9,57,62,10,36,0,34,1,61,2,4,46",True,False,80,65.05299143052655,34.458683747939325,37.46387525051221
second,KITTIDataset,"58,38,4,9,45,8,19,26,1,25,48,55,27,61,33,63,36,56,49,41,46,54,5,57,6,44,37,24,31,43,30,47",True,False,80,36.260597498311064,11.760678853968676,16.211273480222914
second,KITTIDataset,"7,3,16,49,10,9,28,61,36,58,56,44,33,31,37,30,0,25,45,50,6,43,42,53,38,23,20,18,59,26,2,41",True,False,80,58.528729166352754,12.408179091464474,22.700493093427276
second,KITTIDataset,"60,25,59,5,63,55,48,46,42,39,22,32,11,17,18,28,29,50,56,27,12,14,57,49,4,10,13,44,30,33,54,41",True,False,80,53.122795789354846,18.097617315870025,25.237871058692917
second,KITTIDataset,"7,8,34,49,20,25,19,27,40,4,2,5,29,60,23,24,10,13,62,47,54,35,63,1,45,11,39,33,58,61,6,17",True,False,80,74.3635697539057,36.25663431094711,46.273374513679514
second,KITTIDataset,"23,53,50,32,40,33,30,52,39,16,58,59,22,47,62,43,1,38,6,29,48,3,35,4,17,27,0,15,51,60,9,18",True,False,80,57.537721809709886,15.0193474242238,32.58364550281366
second,KITTIDataset,"14,10,13,34,40,37,7,42,32,43,44,4,9,19,54,25,59,57,12,56,2,24,55,28,53,6,27,0,58,29,62,31",True,False,80,55.44543578874092,26.984707916856827,31.11197860734799
second,KITTIDataset,"50,42,61,37,29,23,6,33,17,32,22,59,12,51,57,44,16,21,48,7,26,45,4,30,63,14,27,38,58,28,54,46",True,False,80,65.78606598497778,13.416557066860921,26.241063688271854
second,KITTIDataset,"61,58,28,25,38,12,30,32,19,45,16,8,49,60,4,63,14,6,22,41,53,37,36,42,5,27,56,40,48,26,21,9",True,False,80,66.37900635667215,16.64015602353981,33.82424275404433
second,KITTIDataset,"46,44,4,63,0,49,14,22,52,41,56,25,50,29,61,20,36,59,48,47,17,21,27,7,33,12,5,3,58,51,18,6",True,False,80,52.47267947208346,21.848713496982313,34.537890213118004
second,KITTIDataset,"63,35,30,25,47,18,52,51,58,46,2,42,53,36,43,62,16,1,4,40,31,54,26,37,12,50,3,24,27,11,8,49",True,False,80,48.953942093014454,15.157628684419064,24.19239177814872
second,KITTIDataset,"53,16,13,23,36,61,8,31,24,25,26,2,55,48,9,38,7,5,54,44,4,41,56,49,28,52,40,0,33,35,22,10,63,15",True,False,80,51.64341906534453,23.53257050579595,31.122707748207983
second,KITTIDataset,"49,45,17,59,6,42,23,56,52,8,57,55,62,38,51,43,61,24,58,41,1,18,48,4,37,39,34,63,19,47,20,28,46,25",True,False,80,39.94054376263279,9.113184434118907,12.470973323407247
second,KITTIDataset,"32,25,50,39,41,62,57,12,37,21,2,26,18,59,1,20,61,30,23,27,0,60,51,17,15,40,36,35,52,55,47,48,19,10",True,False,80,59.53159459176685,11.773745529747979,26.66399831008574
second,KITTIDataset,"1,45,59,34,42,35,13,50,56,61,12,16,49,29,48,31,60,3,4,17,32,27,37,30,7,2,28,10,15,14,57,5,51,39",True,False,80,59.26150158266904,14.936660087124892,24.51933996866598
second,KITTIDataset,"36,7,53,33,35,23,54,22,37,11,13,10,25,31,17,21,38,47,60,48,28,26,2,27,16,42,50,49,4,52,32,3,24,55",True,False,80,42.85575587537999,11.931024727884116,16.39859413768942
second,KITTIDataset,"14,13,60,55,24,8,28,30,9,53,17,62,33,44,32,2,21,3,50,16,29,5,11,27,23,49,42,40,54,7,52,0,51,39",True,False,80,47.75342225210664,16.20773567596224,25.843965165741423
second,KITTIDataset,"59,27,34,52,45,31,38,63,24,50,33,4,26,11,32,53,41,12,18,17,58,35,10,51,49,55,42,22,15,0,25,19,37,43",True,False,80,49.97872300302525,8.670695185798287,16.170032275812556
second,KITTIDataset,"36,31,5,4,58,60,33,14,35,45,9,23,55,29,15,43,11,37,47,39,10,49,8,62,44,52,30,28,57,25,21,56,26,7",True,False,80,58.70837534547858,18.97996297391798,23.672173068860772
second,KITTIDataset,"49,11,45,38,8,48,0,7,63,26,58,47,50,24,18,5,27,31,40,32,29,20,60,34,1,6,57,35,2,61,36,62,13,59",True,False,80,62.9507090885584,23.21908373654786,33.273894057179966
second,KITTIDataset,"25,30,2,17,4,14,12,15,22,6,52,48,56,24,27,58,54,62,42,45,7,61,23,41,51,8,16,26,20,59,40,28,33,34",True,False,80,66.0236656214742,21.92072254566792,31.502123129420855
second,KITTIDataset,"15,47,48,22,20,61,44,21,9,18,40,4,34,0,46,33,62,11,37,41,8,26,59,53,35,10,13,27,16,14,2,54,17,39,32,23",True,False,80,59.58140307704161,16.623044909619523,26.038262114819595
second,KITTIDataset,"22,46,25,17,6,13,50,28,31,15,26,57,30,63,60,61,24,5,12,4,11,3,44,48,58,34,10,55,8,20,38,16,9,7,0,45",True,False,80,69.58547445174152,29.239865254800744,37.17305621867407
second,KITTIDataset,"46,0,31,21,11,39,9,18,36,7,53,2,38,42,41,51,59,8,37,48,23,25,26,10,20,63,4,1,45,40,28,16,60,61,56,43",True,False,80,52.2054597236561,9.568784516195391,21.837094907508988
second,KITTIDataset,"35,55,51,4,43,42,5,2,59,13,9,23,47,45,26,28,56,11,50,7,61,33,62,12,29,14,21,10,19,37,25,49,40,54,17,38",True,False,80,52.88921473122994,21.441823517924398,25.35014994013255
second,KITTIDataset,"2,37,48,14,42,51,4,5,39,47,19,36,29,23,17,53,45,26,3,30,12,56,32,60,15,41,25,0,61,18,40,27,1,34,52,10",True,False,80,56.06814101829378,11.956387817896918,25.733340393991256
